Date,Truck_Number,Area,Location,Start Time,End Time,Number Of Refueling,Sales_Amount,Feul Fee,Profit,Fuel Price,Total Sales (L),utilization,capacity_used,profit_per_liter,Location_rank,Truck_Rank
12 azar,Fuel Truck42,6.0,university of tehran,8.33,11.0,2.0,6900.0,5000.0,207000000.0,35000.0,241500000.0,1.38,1.38,30000.0,1784400000.0,1784400000.0
,,,,,,,,,,,,,,,,
13 azar,Fuel Truck1,1.0,Ajudanieh,8.0,11.0,1.0,2200.0,5000.0,66000000.0,35000.0,77000000.0,0.44,0.44,30000.0,508500000.0,508500000.0
13 azar,Fuel Truck2,1.0,Farmaniyeh,8.13,11.0,1.0,3100.0,5000.0,93000000.0,35000.0,108500000.0,0.62,0.62,30000.0,714000000.0,714000000.0
13 azar,Fuel Truck3,1.0,Andarzgoo 1,8.17,11.0,1.0,5000.0,5000.0,150000000.0,35000.0,175000000.0,1.0,1.0,30000.0,1386000000.0,1386000000.0
13 azar,Fuel Truck4,1.0,andarzgoo 2,8.31,11.0,2.0,6800.0,5000.0,204000000.0,35000.0,238000000.0,1.36,1.36,30000.0,1371000000.0,1371000000.0
13 azar,Fuel Truck5,1.0,Pasdaran,8.0,11.0,1.0,4000.0,5000.0,120000000.0,35000.0,140000000.0,0.8,0.8,30000.0,799500000.0,799500000.0
13 azar,Fuel Truck6,1.0,ekhtiariyeh,8.12,11.0,1.0,2200.0,5000.0,66000000.0,35000.0,77000000.0,0.44,0.44,30000.0,402600000.0,402600000.0
13 azar,Fuel Truck7,1.0,tajrish 1,8.24,11.0,2.0,8000.0,5000.0,240000000.0,35000.0,280000000.0,1.6,1.6,30000.0,2151000000.0,2151000000.0
13 azar,Fuel Truck8,1.0,tajrish 2 ,8.45,11.0,3.0,10200.0,5000.0,306000000.0,35000.0,357000000.0,2.04,2.04,30000.0,2322000000.0,2322000000.0
13 azar,Fuel Truck9,1.0,velenjak 1 ,8.51,11.0,1.0,3000.0,5000.0,90000000.0,35000.0,105000000.0,0.6,0.6,30000.0,678000000.0,678000000.0
13 azar,Fuel Truck10,1.0,velenjak 2,9.01,11.0,1.0,4000.0,5000.0,120000000.0,35000.0,140000000.0,0.8,0.8,30000.0,1058940000.0,1058940000.0
13 azar,Fuel Truck11,2.0,modiriat,7.45,11.0,2.0,8300.0,5000.0,249000000.0,35000.0,290500000.0,1.66,1.66,30000.0,1604700000.0,1604700000.0
13 azar,Fuel Truck12,2.0,dadman,8.23,11.0,1.0,3000.0,5000.0,90000000.0,35000.0,105000000.0,0.6,0.6,30000.0,879000000.0,879000000.0
13 azar,Fuel Truck13,2.0,sepehr,8.41,11.0,1.0,3000.0,5000.0,90000000.0,35000.0,105000000.0,0.6,0.6,30000.0,786510000.0,786510000.0
13 azar,Fuel Truck14,2.0,farahzad,8.55,11.0,1.0,1700.0,5000.0,51000000.0,35000.0,59500000.0,0.34,0.34,30000.0,365250000.0,365250000.0
13 azar,Fuel Truck15,2.0,Sanat Square,8.33,11.0,2.0,10000.0,5000.0,300000000.0,35000.0,350000000.0,2.0,2.0,30000.0,2103000000.0,2103000000.0
13 azar,Fuel Truck16,2.0,iran zamin 1,8.33,11.0,2.0,7600.0,5000.0,228000000.0,35000.0,266000000.0,1.52,1.52,30000.0,1821000000.0,1821000000.0
13 azar,Fuel Truck17,2.0,iran zamin 2,8.33,11.0,2.0,7000.0,5000.0,210000000.0,35000.0,245000000.0,1.4,1.4,30000.0,1537500000.0,1537500000.0
13 azar,Fuel Truck18,3.0,dolat,8.33,11.0,2.0,5500.0,5000.0,165000000.0,35000.0,192500000.0,1.1,1.1,30000.0,1193100000.0,1193100000.0
13 azar,Fuel Truck19,3.0,kaveh blv,8.33,11.0,2.0,8000.0,5000.0,240000000.0,35000.0,280000000.0,1.6,1.6,30000.0,1725000000.0,1725000000.0
13 azar,Fuel Truck20,3.0,nemati,8.33,11.0,1.0,670.0,5000.0,20100000.0,35000.0,23450000.0,0.134,0.134,30000.0,203400000.0,203400000.0
13 azar,Fuel Truck21,3.0,shariati ,8.33,11.0,2.0,10000.0,5000.0,300000000.0,35000.0,350000000.0,2.0,2.0,30000.0,2967000000.0,2967000000.0
13 azar,Fuel Truck22,3.0,daroos,8.33,11.0,2.0,6700.0,5000.0,201000000.0,35000.0,234500000.0,1.34,1.34,30000.0,1229400000.0,1229400000.0
